Distance (mi),Location
0,London Paddington [PAD]
0.512,Royal Oak Junction
1.35,Portobello Jn (London)
1.85,Ladbroke Grove
2.688,Old Oak Common East
3.188,Old Oak Common West
3.6,Friars Jn
4.2,Acton Main Line [AML]
4.938,Acton West
5.638,Ealing Broadway [EAL]
6.513,West Ealing [WEA]
6.612,West Ealing Junction
7.287,Hanwell [HAN]
8.713,Southall East Jn
9.012,Southall [STL]
9.812,Southall West Jn
10.825,Hayes & Harlington [HAY]
11.113,Heathrow Airport Jn
11.77,Dawley Loop
12.05,Stockley Junction
12.775,West Drayton East
13.15,West Drayton [WDT]
13.325,West Drayton Jcn
14.688,Iver [IVR]
16.163,Langley [LNY]
17.163,Dolphin Jn
18.387,Slough [SLO]
19.075,Slough West
19.102,Slough U.G.L.
20.9,Burnham [BNM]
22.425,Taplow [TAP]
23.663,Maidenhead East
24.175,Maidenhead [MAI]
29.5,Ruscombe
30.95,Twyford [TWY]
31.712,Twyford West
35.125,Kennet Bridge Jn
35.7,Reading Main Line East
35.938,Reading [RDG]
36.15,Reading Main Line West
36.825,Reading Depot Entry C
37.138,Reading Traincare Depot
37.188,Reading West Jn
37.688,Scours Lane Jn
38.362,Tilehurst East Jn.
38.587,Tilehurst [TLH]
41.475,Pangbourne [PAN]
44.688,Goring & Streatley [GOR]
48.4,Cholsey [CHO]
51.4,Moreton Cutting
52.763,Didcot East Jn
53.062,Didcot Parkway [DID]
53.575,Didcot West Curve Jn
53.899,Didcot North Jn
54.562,Appleford L.C.
55.099,Appleford [APF]
56.112,Culham [CUM]
58.337,Radley [RAD]
60.999,Kennington Jn
61.562,Hinksey South
62.524,Hinksey North
63.412,Oxford [OXF]
